"UNISTR_CHR","UNISTR_TXT","HTML_ENTITY","NOTES"
"\D85C\DF37","\D85C\DF37","&#x27337;","CJK UNIFIED IDEOGRAPH-27337"
"\D85C\DF38","\D85C\DF38","&#x27338;","CJK UNIFIED IDEOGRAPH-27338"
"\D85C\DF39","\D85C\DF39","&#x27339;","CJK UNIFIED IDEOGRAPH-27339"
"\D85C\DF3A","\D85C\DF3A","&#x2733a;","CJK UNIFIED IDEOGRAPH-2733A"
"\D85C\DF3B","\D85C\DF3B","&#x2733b;","CJK UNIFIED IDEOGRAPH-2733B"
"\D85C\DF3C","\D85C\DF3C","&#x2733c;","CJK UNIFIED IDEOGRAPH-2733C"
"\D85C\DF3D","\D85C\DF3D","&#x2733d;","CJK UNIFIED IDEOGRAPH-2733D"
"\D85C\DF3E","\D85C\DF3E","&#x2733e;","CJK UNIFIED IDEOGRAPH-2733E"
"\D85C\DF3F","\D85C\DF3F","&#x2733f;","CJK UNIFIED IDEOGRAPH-2733F"
"\D85C\DF40","\D85C\DF40","&#x27340;","CJK UNIFIED IDEOGRAPH-27340"
"\D85C\DF41","\D85C\DF41","&#x27341;","CJK UNIFIED IDEOGRAPH-27341"
"\D85C\DF42","\D85C\DF42","&#x27342;","CJK UNIFIED IDEOGRAPH-27342"
"\D85C\DF43","\D85C\DF43","&#x27343;","CJK UNIFIED IDEOGRAPH-27343"
"\D85C\DF44","\D85C\DF44","&#x27344;","CJK UNIFIED IDEOGRAPH-27344"
"\D85C\DF45","\D85C\DF45","&#x27345;","CJK UNIFIED IDEOGRAPH-27345"
"\D85C\DF46","\D85C\DF46","&#x27346;","CJK UNIFIED IDEOGRAPH-27346"
"\D85C\DF47","\D85C\DF47","&#x27347;","CJK UNIFIED IDEOGRAPH-27347"
"\D85C\DF48","\D85C\DF48","&#x27348;","CJK UNIFIED IDEOGRAPH-27348"
"\D85C\DF49","\D85C\DF49","&#x27349;","CJK UNIFIED IDEOGRAPH-27349"
"\D85C\DF4A","\D85C\DF4A","&#x2734a;","CJK UNIFIED IDEOGRAPH-2734A"
"\D85C\DF4B","\D85C\DF4B","&#x2734b;","CJK UNIFIED IDEOGRAPH-2734B"
"\D85C\DF4C","\D85C\DF4C","&#x2734c;","CJK UNIFIED IDEOGRAPH-2734C"
"\D85C\DF4D","\D85C\DF4D","&#x2734d;","CJK UNIFIED IDEOGRAPH-2734D"
"\D85C\DF4E","\D85C\DF4E","&#x2734e;","CJK UNIFIED IDEOGRAPH-2734E"
"\D85C\DF4F","\D85C\DF4F","&#x2734f;","CJK UNIFIED IDEOGRAPH-2734F"
"\D85C\DF50","\D85C\DF50","&#x27350;","CJK UNIFIED IDEOGRAPH-27350"
"\D85C\DF51","\D85C\DF51","&#x27351;","CJK UNIFIED IDEOGRAPH-27351"
"\D85C\DF52","\D85C\DF52","&#x27352;","CJK UNIFIED IDEOGRAPH-27352"
"\D85C\DF53","\D85C\DF53","&#x27353;","CJK UNIFIED IDEOGRAPH-27353"
"\D85C\DF54","\D85C\DF54","&#x27354;","CJK UNIFIED IDEOGRAPH-27354"
"\D85C\DF55","\D85C\DF55","&#x27355;","CJK UNIFIED IDEOGRAPH-27355"
"\D85C\DF56","\D85C\DF56","&#x27356;","CJK UNIFIED IDEOGRAPH-27356"
"\D85C\DF57","\D85C\DF57","&#x27357;","CJK UNIFIED IDEOGRAPH-27357"
"\D85C\DF58","\D85C\DF58","&#x27358;","CJK UNIFIED IDEOGRAPH-27358"
"\D85C\DF59","\D85C\DF59","&#x27359;","CJK UNIFIED IDEOGRAPH-27359"
"\D85C\DF5A","\D85C\DF5A","&#x2735a;","CJK UNIFIED IDEOGRAPH-2735A"
"\D85C\DF5B","\D85C\DF5B","&#x2735b;","CJK UNIFIED IDEOGRAPH-2735B"
"\D85C\DF5C","\D85C\DF5C","&#x2735c;","CJK UNIFIED IDEOGRAPH-2735C"
"\D85C\DF5D","\D85C\DF5D","&#x2735d;","CJK UNIFIED IDEOGRAPH-2735D"
"\D85C\DF5E","\D85C\DF5E","&#x2735e;","CJK UNIFIED IDEOGRAPH-2735E"
"\D85C\DF5F","\D85C\DF5F","&#x2735f;","CJK UNIFIED IDEOGRAPH-2735F"
"\D85C\DF60","\D85C\DF60","&#x27360;","CJK UNIFIED IDEOGRAPH-27360"
"\D85C\DF61","\D85C\DF61","&#x27361;","CJK UNIFIED IDEOGRAPH-27361"
"\D85C\DF62","\D85C\DF62","&#x27362;","CJK UNIFIED IDEOGRAPH-27362"
"\D85C\DF63","\D85C\DF63","&#x27363;","CJK UNIFIED IDEOGRAPH-27363"
"\D85C\DF64","\D85C\DF64","&#x27364;","CJK UNIFIED IDEOGRAPH-27364"
"\D85C\DF65","\D85C\DF65","&#x27365;","CJK UNIFIED IDEOGRAPH-27365"
"\D85C\DF66","\D85C\DF66","&#x27366;","CJK UNIFIED IDEOGRAPH-27366"
"\D85C\DF67","\D85C\DF67","&#x27367;","CJK UNIFIED IDEOGRAPH-27367"
"\D85C\DF68","\D85C\DF68","&#x27368;","CJK UNIFIED IDEOGRAPH-27368"
"\D85C\DF69","\D85C\DF69","&#x27369;","CJK UNIFIED IDEOGRAPH-27369"
"\D85C\DF6A","\D85C\DF6A","&#x2736a;","CJK UNIFIED IDEOGRAPH-2736A"
"\D85C\DF6B","\D85C\DF6B","&#x2736b;","CJK UNIFIED IDEOGRAPH-2736B"
"\D85C\DF6C","\D85C\DF6C","&#x2736c;","CJK UNIFIED IDEOGRAPH-2736C"
"\D85C\DF6D","\D85C\DF6D","&#x2736d;","CJK UNIFIED IDEOGRAPH-2736D"
"\D85C\DF6E","\D85C\DF6E","&#x2736e;","CJK UNIFIED IDEOGRAPH-2736E"
"\D85C\DF6F","\D85C\DF6F","&#x2736f;","CJK UNIFIED IDEOGRAPH-2736F"
"\D85C\DF70","\D85C\DF70","&#x27370;","CJK UNIFIED IDEOGRAPH-27370"
"\D85C\DF71","\D85C\DF71","&#x27371;","CJK UNIFIED IDEOGRAPH-27371"
"\D85C\DF72","\D85C\DF72","&#x27372;","CJK UNIFIED IDEOGRAPH-27372"
"\D85C\DF73","\D85C\DF73","&#x27373;","CJK UNIFIED IDEOGRAPH-27373"
"\D85C\DF74","\D85C\DF74","&#x27374;","CJK UNIFIED IDEOGRAPH-27374"
"\D85C\DF75","\D85C\DF75","&#x27375;","CJK UNIFIED IDEOGRAPH-27375"
"\D85C\DF76","\D85C\DF76","&#x27376;","CJK UNIFIED IDEOGRAPH-27376"
"\D85C\DF77","\D85C\DF77","&#x27377;","CJK UNIFIED IDEOGRAPH-27377"
"\D85C\DF78","\D85C\DF78","&#x27378;","CJK UNIFIED IDEOGRAPH-27378"
"\D85C\DF79","\D85C\DF79","&#x27379;","CJK UNIFIED IDEOGRAPH-27379"
"\D85C\DF7A","\D85C\DF7A","&#x2737a;","CJK UNIFIED IDEOGRAPH-2737A"
"\D85C\DF7B","\D85C\DF7B","&#x2737b;","CJK UNIFIED IDEOGRAPH-2737B"
"\D85C\DF7C","\D85C\DF7C","&#x2737c;","CJK UNIFIED IDEOGRAPH-2737C"
"\D85C\DF7D","\D85C\DF7D","&#x2737d;","CJK UNIFIED IDEOGRAPH-2737D"
"\D85C\DF7E","\D85C\DF7E","&#x2737e;","CJK UNIFIED IDEOGRAPH-2737E"
"\D85C\DF7F","\D85C\DF7F","&#x2737f;","CJK UNIFIED IDEOGRAPH-2737F"
"\D85C\DF80","\D85C\DF80","&#x27380;","CJK UNIFIED IDEOGRAPH-27380"
"\D85C\DF81","\D85C\DF81","&#x27381;","CJK UNIFIED IDEOGRAPH-27381"
"\D85C\DF82","\D85C\DF82","&#x27382;","CJK UNIFIED IDEOGRAPH-27382"
"\D85C\DF83","\D85C\DF83","&#x27383;","CJK UNIFIED IDEOGRAPH-27383"
"\D85C\DF84","\D85C\DF84","&#x27384;","CJK UNIFIED IDEOGRAPH-27384"
"\D85C\DF85","\D85C\DF85","&#x27385;","CJK UNIFIED IDEOGRAPH-27385"
"\D85C\DF86","\D85C\DF86","&#x27386;","CJK UNIFIED IDEOGRAPH-27386"
"\D85C\DF87","\D85C\DF87","&#x27387;","CJK UNIFIED IDEOGRAPH-27387"
"\D85C\DF88","\D85C\DF88","&#x27388;","CJK UNIFIED IDEOGRAPH-27388"
"\D85C\DF89","\D85C\DF89","&#x27389;","CJK UNIFIED IDEOGRAPH-27389"
"\D85C\DF8A","\D85C\DF8A","&#x2738a;","CJK UNIFIED IDEOGRAPH-2738A"
"\D85C\DF8B","\D85C\DF8B","&#x2738b;","CJK UNIFIED IDEOGRAPH-2738B"
"\D85C\DF8C","\D85C\DF8C","&#x2738c;","CJK UNIFIED IDEOGRAPH-2738C"
"\D85C\DF8D","\D85C\DF8D","&#x2738d;","CJK UNIFIED IDEOGRAPH-2738D"
"\D85C\DF8E","\D85C\DF8E","&#x2738e;","CJK UNIFIED IDEOGRAPH-2738E"
"\D85C\DF8F","\D85C\DF8F","&#x2738f;","CJK UNIFIED IDEOGRAPH-2738F"
"\D85C\DF90","\D85C\DF90","&#x27390;","CJK UNIFIED IDEOGRAPH-27390"
"\D85C\DF91","\D85C\DF91","&#x27391;","CJK UNIFIED IDEOGRAPH-27391"
"\D85C\DF92","\D85C\DF92","&#x27392;","CJK UNIFIED IDEOGRAPH-27392"
"\D85C\DF93","\D85C\DF93","&#x27393;","CJK UNIFIED IDEOGRAPH-27393"
"\D85C\DF94","\D85C\DF94","&#x27394;","CJK UNIFIED IDEOGRAPH-27394"
"\D85C\DF95","\D85C\DF95","&#x27395;","CJK UNIFIED IDEOGRAPH-27395"
"\D85C\DF96","\D85C\DF96","&#x27396;","CJK UNIFIED IDEOGRAPH-27396"
"\D85C\DF97","\D85C\DF97","&#x27397;","CJK UNIFIED IDEOGRAPH-27397"
"\D85C\DF98","\D85C\DF98","&#x27398;","CJK UNIFIED IDEOGRAPH-27398"
"\D85C\DF99","\D85C\DF99","&#x27399;","CJK UNIFIED IDEOGRAPH-27399"
"\D85C\DF9A","\D85C\DF9A","&#x2739a;","CJK UNIFIED IDEOGRAPH-2739A"
"\D85C\DF9B","\D85C\DF9B","&#x2739b;","CJK UNIFIED IDEOGRAPH-2739B"
"\D85C\DF9C","\D85C\DF9C","&#x2739c;","CJK UNIFIED IDEOGRAPH-2739C"
"\D85C\DF9D","\D85C\DF9D","&#x2739d;","CJK UNIFIED IDEOGRAPH-2739D"
"\D85C\DF9E","\D85C\DF9E","&#x2739e;","CJK UNIFIED IDEOGRAPH-2739E"
"\D85C\DF9F","\D85C\DF9F","&#x2739f;","CJK UNIFIED IDEOGRAPH-2739F"
"\D85C\DFA0","\D85C\DFA0","&#x273a0;","CJK UNIFIED IDEOGRAPH-273A0"
"\D85C\DFA1","\D85C\DFA1","&#x273a1;","CJK UNIFIED IDEOGRAPH-273A1"
"\D85C\DFA2","\D85C\DFA2","&#x273a2;","CJK UNIFIED IDEOGRAPH-273A2"
"\D85C\DFA3","\D85C\DFA3","&#x273a3;","CJK UNIFIED IDEOGRAPH-273A3"
"\D85C\DFA4","\D85C\DFA4","&#x273a4;","CJK UNIFIED IDEOGRAPH-273A4"
"\D85C\DFA5","\D85C\DFA5","&#x273a5;","CJK UNIFIED IDEOGRAPH-273A5"
"\D85C\DFA6","\D85C\DFA6","&#x273a6;","CJK UNIFIED IDEOGRAPH-273A6"
"\D85C\DFA7","\D85C\DFA7","&#x273a7;","CJK UNIFIED IDEOGRAPH-273A7"
"\D85C\DFA8","\D85C\DFA8","&#x273a8;","CJK UNIFIED IDEOGRAPH-273A8"
"\D85C\DFA9","\D85C\DFA9","&#x273a9;","CJK UNIFIED IDEOGRAPH-273A9"
"\D85C\DFAA","\D85C\DFAA","&#x273aa;","CJK UNIFIED IDEOGRAPH-273AA"
"\D85C\DFAB","\D85C\DFAB","&#x273ab;","CJK UNIFIED IDEOGRAPH-273AB"
"\D85C\DFAC","\D85C\DFAC","&#x273ac;","CJK UNIFIED IDEOGRAPH-273AC"
"\D85C\DFAD","\D85C\DFAD","&#x273ad;","CJK UNIFIED IDEOGRAPH-273AD"
"\D85C\DFAE","\D85C\DFAE","&#x273ae;","CJK UNIFIED IDEOGRAPH-273AE"
"\D85C\DFAF","\D85C\DFAF","&#x273af;","CJK UNIFIED IDEOGRAPH-273AF"
"\D85C\DFB0","\D85C\DFB0","&#x273b0;","CJK UNIFIED IDEOGRAPH-273B0"
"\D85C\DFB1","\D85C\DFB1","&#x273b1;","CJK UNIFIED IDEOGRAPH-273B1"
"\D85C\DFB2","\D85C\DFB2","&#x273b2;","CJK UNIFIED IDEOGRAPH-273B2"
"\D85C\DFB3","\D85C\DFB3","&#x273b3;","CJK UNIFIED IDEOGRAPH-273B3"
"\D85C\DFB4","\D85C\DFB4","&#x273b4;","CJK UNIFIED IDEOGRAPH-273B4"
"\D85C\DFB5","\D85C\DFB5","&#x273b5;","CJK UNIFIED IDEOGRAPH-273B5"
"\D85C\DFB6","\D85C\DFB6","&#x273b6;","CJK UNIFIED IDEOGRAPH-273B6"
"\D85C\DFB7","\D85C\DFB7","&#x273b7;","CJK UNIFIED IDEOGRAPH-273B7"
"\D85C\DFB8","\D85C\DFB8","&#x273b8;","CJK UNIFIED IDEOGRAPH-273B8"
"\D85C\DFB9","\D85C\DFB9","&#x273b9;","CJK UNIFIED IDEOGRAPH-273B9"
"\D85C\DFBA","\D85C\DFBA","&#x273ba;","CJK UNIFIED IDEOGRAPH-273BA"
"\D85C\DFBB","\D85C\DFBB","&#x273bb;","CJK UNIFIED IDEOGRAPH-273BB"
"\D85C\DFBC","\D85C\DFBC","&#x273bc;","CJK UNIFIED IDEOGRAPH-273BC"
"\D85C\DFBD","\D85C\DFBD","&#x273bd;","CJK UNIFIED IDEOGRAPH-273BD"
"\D85C\DFBE","\D85C\DFBE","&#x273be;","CJK UNIFIED IDEOGRAPH-273BE"
"\D85C\DFBF","\D85C\DFBF","&#x273bf;","CJK UNIFIED IDEOGRAPH-273BF"
"\D85C\DFC0","\D85C\DFC0","&#x273c0;","CJK UNIFIED IDEOGRAPH-273C0"
"\D85C\DFC1","\D85C\DFC1","&#x273c1;","CJK UNIFIED IDEOGRAPH-273C1"
"\D85C\DFC2","\D85C\DFC2","&#x273c2;","CJK UNIFIED IDEOGRAPH-273C2"
"\D85C\DFC3","\D85C\DFC3","&#x273c3;","CJK UNIFIED IDEOGRAPH-273C3"
"\D85C\DFC4","\D85C\DFC4","&#x273c4;","CJK UNIFIED IDEOGRAPH-273C4"
"\D85C\DFC5","\D85C\DFC5","&#x273c5;","CJK UNIFIED IDEOGRAPH-273C5"
"\D85C\DFC6","\D85C\DFC6","&#x273c6;","CJK UNIFIED IDEOGRAPH-273C6"
"\D85C\DFC7","\D85C\DFC7","&#x273c7;","CJK UNIFIED IDEOGRAPH-273C7"
"\D85C\DFC8","\D85C\DFC8","&#x273c8;","CJK UNIFIED IDEOGRAPH-273C8"
"\D85C\DFC9","\D85C\DFC9","&#x273c9;","CJK UNIFIED IDEOGRAPH-273C9"
"\D85C\DFCA","\D85C\DFCA","&#x273ca;","CJK UNIFIED IDEOGRAPH-273CA"
"\D85C\DFCB","\D85C\DFCB","&#x273cb;","CJK UNIFIED IDEOGRAPH-273CB"
"\D85C\DFCC","\D85C\DFCC","&#x273cc;","CJK UNIFIED IDEOGRAPH-273CC"
"\D85C\DFCD","\D85C\DFCD","&#x273cd;","CJK UNIFIED IDEOGRAPH-273CD"
"\D85C\DFCE","\D85C\DFCE","&#x273ce;","CJK UNIFIED IDEOGRAPH-273CE"
"\D85C\DFCF","\D85C\DFCF","&#x273cf;","CJK UNIFIED IDEOGRAPH-273CF"
"\D85C\DFD0","\D85C\DFD0","&#x273d0;","CJK UNIFIED IDEOGRAPH-273D0"
"\D85C\DFD1","\D85C\DFD1","&#x273d1;","CJK UNIFIED IDEOGRAPH-273D1"
"\D85C\DFD2","\D85C\DFD2","&#x273d2;","CJK UNIFIED IDEOGRAPH-273D2"
"\D85C\DFD3","\D85C\DFD3","&#x273d3;","CJK UNIFIED IDEOGRAPH-273D3"
"\D85C\DFD4","\D85C\DFD4","&#x273d4;","CJK UNIFIED IDEOGRAPH-273D4"
"\D85C\DFD5","\D85C\DFD5","&#x273d5;","CJK UNIFIED IDEOGRAPH-273D5"
"\D85C\DFD6","\D85C\DFD6","&#x273d6;","CJK UNIFIED IDEOGRAPH-273D6"
"\D85C\DFD7","\D85C\DFD7","&#x273d7;","CJK UNIFIED IDEOGRAPH-273D7"
"\D85C\DFD8","\D85C\DFD8","&#x273d8;","CJK UNIFIED IDEOGRAPH-273D8"
"\D85C\DFD9","\D85C\DFD9","&#x273d9;","CJK UNIFIED IDEOGRAPH-273D9"
"\D85C\DFDA","\D85C\DFDA","&#x273da;","CJK UNIFIED IDEOGRAPH-273DA"
"\D85C\DFDB","\D85C\DFDB","&#x273db;","CJK UNIFIED IDEOGRAPH-273DB"
"\D85C\DFDC","\D85C\DFDC","&#x273dc;","CJK UNIFIED IDEOGRAPH-273DC"
"\D85C\DFDD","\D85C\DFDD","&#x273dd;","CJK UNIFIED IDEOGRAPH-273DD"
"\D85C\DFDE","\D85C\DFDE","&#x273de;","CJK UNIFIED IDEOGRAPH-273DE"
"\D85C\DFDF","\D85C\DFDF","&#x273df;","CJK UNIFIED IDEOGRAPH-273DF"
"\D85C\DFE0","\D85C\DFE0","&#x273e0;","CJK UNIFIED IDEOGRAPH-273E0"
"\D85C\DFE1","\D85C\DFE1","&#x273e1;","CJK UNIFIED IDEOGRAPH-273E1"
"\D85C\DFE2","\D85C\DFE2","&#x273e2;","CJK UNIFIED IDEOGRAPH-273E2"
"\D85C\DFE3","\D85C\DFE3","&#x273e3;","CJK UNIFIED IDEOGRAPH-273E3"
"\D85C\DFE4","\D85C\DFE4","&#x273e4;","CJK UNIFIED IDEOGRAPH-273E4"
"\D85C\DFE5","\D85C\DFE5","&#x273e5;","CJK UNIFIED IDEOGRAPH-273E5"
"\D85C\DFE6","\D85C\DFE6","&#x273e6;","CJK UNIFIED IDEOGRAPH-273E6"
"\D85C\DFE7","\D85C\DFE7","&#x273e7;","CJK UNIFIED IDEOGRAPH-273E7"
"\D85C\DFE8","\D85C\DFE8","&#x273e8;","CJK UNIFIED IDEOGRAPH-273E8"
"\D85C\DFE9","\D85C\DFE9","&#x273e9;","CJK UNIFIED IDEOGRAPH-273E9"
"\D85C\DFEA","\D85C\DFEA","&#x273ea;","CJK UNIFIED IDEOGRAPH-273EA"
"\D85C\DFEB","\D85C\DFEB","&#x273eb;","CJK UNIFIED IDEOGRAPH-273EB"
"\D85C\DFEC","\D85C\DFEC","&#x273ec;","CJK UNIFIED IDEOGRAPH-273EC"
"\D85C\DFED","\D85C\DFED","&#x273ed;","CJK UNIFIED IDEOGRAPH-273ED"
"\D85C\DFEE","\D85C\DFEE","&#x273ee;","CJK UNIFIED IDEOGRAPH-273EE"
"\D85C\DFEF","\D85C\DFEF","&#x273ef;","CJK UNIFIED IDEOGRAPH-273EF"
"\D85C\DFF0","\D85C\DFF0","&#x273f0;","CJK UNIFIED IDEOGRAPH-273F0"
"\D85C\DFF1","\D85C\DFF1","&#x273f1;","CJK UNIFIED IDEOGRAPH-273F1"
"\D85C\DFF2","\D85C\DFF2","&#x273f2;","CJK UNIFIED IDEOGRAPH-273F2"
"\D85C\DFF3","\D85C\DFF3","&#x273f3;","CJK UNIFIED IDEOGRAPH-273F3"
"\D85C\DFF4","\D85C\DFF4","&#x273f4;","CJK UNIFIED IDEOGRAPH-273F4"
"\D85C\DFF5","\D85C\DFF5","&#x273f5;","CJK UNIFIED IDEOGRAPH-273F5"
"\D85C\DFF6","\D85C\DFF6","&#x273f6;","CJK UNIFIED IDEOGRAPH-273F6"
"\D85C\DFF7","\D85C\DFF7","&#x273f7;","CJK UNIFIED IDEOGRAPH-273F7"
"\D85C\DFF8","\D85C\DFF8","&#x273f8;","CJK UNIFIED IDEOGRAPH-273F8"
"\D85C\DFF9","\D85C\DFF9","&#x273f9;","CJK UNIFIED IDEOGRAPH-273F9"
"\D85C\DFFA","\D85C\DFFA","&#x273fa;","CJK UNIFIED IDEOGRAPH-273FA"
"\D85C\DFFB","\D85C\DFFB","&#x273fb;","CJK UNIFIED IDEOGRAPH-273FB"
"\D85C\DFFC","\D85C\DFFC","&#x273fc;","CJK UNIFIED IDEOGRAPH-273FC"
"\D85C\DFFD","\D85C\DFFD","&#x273fd;","CJK UNIFIED IDEOGRAPH-273FD"
"\D85C\DFFE","\D85C\DFFE","&#x273fe;","CJK UNIFIED IDEOGRAPH-273FE"
"\D85C\DFFF","\D85C\DFFF","&#x273ff;","CJK UNIFIED IDEOGRAPH-273FF"
"\D85D\DC00","\D85D\DC00","&#x27400;","CJK UNIFIED IDEOGRAPH-27400"
"\D85D\DC01","\D85D\DC01","&#x27401;","CJK UNIFIED IDEOGRAPH-27401"
"\D85D\DC02","\D85D\DC02","&#x27402;","CJK UNIFIED IDEOGRAPH-27402"
"\D85D\DC03","\D85D\DC03","&#x27403;","CJK UNIFIED IDEOGRAPH-27403"
"\D85D\DC04","\D85D\DC04","&#x27404;","CJK UNIFIED IDEOGRAPH-27404"
"\D85D\DC05","\D85D\DC05","&#x27405;","CJK UNIFIED IDEOGRAPH-27405"
"\D85D\DC06","\D85D\DC06","&#x27406;","CJK UNIFIED IDEOGRAPH-27406"
"\D85D\DC07","\D85D\DC07","&#x27407;","CJK UNIFIED IDEOGRAPH-27407"
"\D85D\DC08","\D85D\DC08","&#x27408;","CJK UNIFIED IDEOGRAPH-27408"
"\D85D\DC09","\D85D\DC09","&#x27409;","CJK UNIFIED IDEOGRAPH-27409"
"\D85D\DC0A","\D85D\DC0A","&#x2740a;","CJK UNIFIED IDEOGRAPH-2740A"
"\D85D\DC0B","\D85D\DC0B","&#x2740b;","CJK UNIFIED IDEOGRAPH-2740B"
"\D85D\DC0C","\D85D\DC0C","&#x2740c;","CJK UNIFIED IDEOGRAPH-2740C"
"\D85D\DC0D","\D85D\DC0D","&#x2740d;","CJK UNIFIED IDEOGRAPH-2740D"
"\D85D\DC0E","\D85D\DC0E","&#x2740e;","CJK UNIFIED IDEOGRAPH-2740E"
"\D85D\DC0F","\D85D\DC0F","&#x2740f;","CJK UNIFIED IDEOGRAPH-2740F"
"\D85D\DC10","\D85D\DC10","&#x27410;","CJK UNIFIED IDEOGRAPH-27410"
"\D85D\DC11","\D85D\DC11","&#x27411;","CJK UNIFIED IDEOGRAPH-27411"
"\D85D\DC12","\D85D\DC12","&#x27412;","CJK UNIFIED IDEOGRAPH-27412"
"\D85D\DC13","\D85D\DC13","&#x27413;","CJK UNIFIED IDEOGRAPH-27413"
"\D85D\DC14","\D85D\DC14","&#x27414;","CJK UNIFIED IDEOGRAPH-27414"
"\D85D\DC15","\D85D\DC15","&#x27415;","CJK UNIFIED IDEOGRAPH-27415"
"\D85D\DC16","\D85D\DC16","&#x27416;","CJK UNIFIED IDEOGRAPH-27416"
"\D85D\DC17","\D85D\DC17","&#x27417;","CJK UNIFIED IDEOGRAPH-27417"
"\D85D\DC18","\D85D\DC18","&#x27418;","CJK UNIFIED IDEOGRAPH-27418"
"\D85D\DC19","\D85D\DC19","&#x27419;","CJK UNIFIED IDEOGRAPH-27419"
"\D85D\DC1A","\D85D\DC1A","&#x2741a;","CJK UNIFIED IDEOGRAPH-2741A"
"\D85D\DC1B","\D85D\DC1B","&#x2741b;","CJK UNIFIED IDEOGRAPH-2741B"
"\D85D\DC1C","\D85D\DC1C","&#x2741c;","CJK UNIFIED IDEOGRAPH-2741C"
"\D85D\DC1D","\D85D\DC1D","&#x2741d;","CJK UNIFIED IDEOGRAPH-2741D"
"\D85D\DC1E","\D85D\DC1E","&#x2741e;","CJK UNIFIED IDEOGRAPH-2741E"
"\D85D\DC1F","\D85D\DC1F","&#x2741f;","CJK UNIFIED IDEOGRAPH-2741F"
"\D85D\DC20","\D85D\DC20","&#x27420;","CJK UNIFIED IDEOGRAPH-27420"
"\D85D\DC21","\D85D\DC21","&#x27421;","CJK UNIFIED IDEOGRAPH-27421"
"\D85D\DC22","\D85D\DC22","&#x27422;","CJK UNIFIED IDEOGRAPH-27422"
"\D85D\DC23","\D85D\DC23","&#x27423;","CJK UNIFIED IDEOGRAPH-27423"
"\D85D\DC24","\D85D\DC24","&#x27424;","CJK UNIFIED IDEOGRAPH-27424"
"\D85D\DC25","\D85D\DC25","&#x27425;","CJK UNIFIED IDEOGRAPH-27425"
"\D85D\DC26","\D85D\DC26","&#x27426;","CJK UNIFIED IDEOGRAPH-27426"
"\D85D\DC27","\D85D\DC27","&#x27427;","CJK UNIFIED IDEOGRAPH-27427"
"\D85D\DC28","\D85D\DC28","&#x27428;","CJK UNIFIED IDEOGRAPH-27428"
"\D85D\DC29","\D85D\DC29","&#x27429;","CJK UNIFIED IDEOGRAPH-27429"
"\D85D\DC2A","\D85D\DC2A","&#x2742a;","CJK UNIFIED IDEOGRAPH-2742A"
"\D85D\DC2B","\D85D\DC2B","&#x2742b;","CJK UNIFIED IDEOGRAPH-2742B"
"\D85D\DC2C","\D85D\DC2C","&#x2742c;","CJK UNIFIED IDEOGRAPH-2742C"
"\D85D\DC2D","\D85D\DC2D","&#x2742d;","CJK UNIFIED IDEOGRAPH-2742D"
"\D85D\DC2E","\D85D\DC2E","&#x2742e;","CJK UNIFIED IDEOGRAPH-2742E"
"\D85D\DC2F","\D85D\DC2F","&#x2742f;","CJK UNIFIED IDEOGRAPH-2742F"
"\D85D\DC30","\D85D\DC30","&#x27430;","CJK UNIFIED IDEOGRAPH-27430"
"\D85D\DC31","\D85D\DC31","&#x27431;","CJK UNIFIED IDEOGRAPH-27431"
"\D85D\DC32","\D85D\DC32","&#x27432;","CJK UNIFIED IDEOGRAPH-27432"
"\D85D\DC33","\D85D\DC33","&#x27433;","CJK UNIFIED IDEOGRAPH-27433"
"\D85D\DC34","\D85D\DC34","&#x27434;","CJK UNIFIED IDEOGRAPH-27434"
"\D85D\DC35","\D85D\DC35","&#x27435;","CJK UNIFIED IDEOGRAPH-27435"
"\D85D\DC36","\D85D\DC36","&#x27436;","CJK UNIFIED IDEOGRAPH-27436"
"\D85D\DC37","\D85D\DC37","&#x27437;","CJK UNIFIED IDEOGRAPH-27437"
"\D85D\DC38","\D85D\DC38","&#x27438;","CJK UNIFIED IDEOGRAPH-27438"
"\D85D\DC39","\D85D\DC39","&#x27439;","CJK UNIFIED IDEOGRAPH-27439"
"\D85D\DC3A","\D85D\DC3A","&#x2743a;","CJK UNIFIED IDEOGRAPH-2743A"
"\D85D\DC3B","\D85D\DC3B","&#x2743b;","CJK UNIFIED IDEOGRAPH-2743B"
"\D85D\DC3C","\D85D\DC3C","&#x2743c;","CJK UNIFIED IDEOGRAPH-2743C"
"\D85D\DC3D","\D85D\DC3D","&#x2743d;","CJK UNIFIED IDEOGRAPH-2743D"
"\D85D\DC3E","\D85D\DC3E","&#x2743e;","CJK UNIFIED IDEOGRAPH-2743E"
"\D85D\DC3F","\D85D\DC3F","&#x2743f;","CJK UNIFIED IDEOGRAPH-2743F"
"\D85D\DC40","\D85D\DC40","&#x27440;","CJK UNIFIED IDEOGRAPH-27440"
"\D85D\DC41","\D85D\DC41","&#x27441;","CJK UNIFIED IDEOGRAPH-27441"
"\D85D\DC42","\D85D\DC42","&#x27442;","CJK UNIFIED IDEOGRAPH-27442"
"\D85D\DC43","\D85D\DC43","&#x27443;","CJK UNIFIED IDEOGRAPH-27443"
"\D85D\DC44","\D85D\DC44","&#x27444;","CJK UNIFIED IDEOGRAPH-27444"
"\D85D\DC45","\D85D\DC45","&#x27445;","CJK UNIFIED IDEOGRAPH-27445"
